"loc_id","latitude","longitude"
"L10114262",40.415216,-77.091978
"L10114355",37.1056345,-122.0476127
"L10114627",39.5092909,-77.0795227
"L10114810",30.0617586,-98.0772793
"L10115275",43.0795462,-78.0663966
"L10115613",43.631521,-116.603644
"L10115736",39.7707465,-105.0665869
"L10115742",45.083288,-79.1593519
"L10115983",43.0576787,-77.0288144
"L10116354",47.6766049,-122.3303569
"L10117051",40.5647949,-74.1493124
"L10117390",44.1239463,-79.3051682
"L10117551",42.6480731,-73.8342102
"L10117900",42.271486,-71.247027
"L10118245",44.301961,-92.773084
"L10118442",43.6763496,-79.2921978
"L10118454",40.2013732,-105.1217613
"L10118607",40.0157174,-82.7750301
"L10118836",37.343134,-122.0158378
"L10119480",41.6605852,-91.4851163
"L10119501",34.2304311,-119.0612889
"L10119848",41.5972189,-87.8019032
"L10120831",45.8267265,-66.5135387
"L10121025",30.5588555,-97.8004501
"L10121596",41.7798169,-81.0526306
"L10121977",42.2395673,-88.0095915
"L10121979",40.8625113,-80.8328104
"L10122276",61.1105825,-149.8468622
"L10122299",45.5257381,-122.6287748
"L10122335",39.9642275,-89.8337406
"L10123861",44.8183454,-66.9902687
"L10124287",44.6174252,-63.608551
"L10124331",44.0538527,-77.0547152
"L10124375",32.7187818,-97.5214668
"L10124452",37.7513556,-122.4792854
"L10124462",50.7183249,-120.3663745
"L10124475",44.278945,-78.4365034
"L10124500",32.8805242,-97.1230459
"L10124515",39.0893014,-84.3955135
"L10124523",33.1429728,-96.8074358
"L10124530",36.276756,-82.464973
"L10124535",46.90968,-122.9821238
"L10124548",44.4531428,-124.0787441
"L10124582",38.4555696,-75.050916
"L10124638",41.5681109,-70.5063314
"L10125042",45.1782913,-72.7118224
"L10125124",40.460171,-86.901709
"L10125189",40.1585555,-89.3459535
"L10125290",43.2822704,-72.1306729
"L10126159",37.4755393,-77.2755361
"L10126244",45.149687,-79.772599
"L10126255",38.9097318,-77.4013852
"L10126402",29.5731958,-97.6490808
"L10126536",43.5253735,-79.6110146
"L10126627",34.1280326,-84.4138401
"L10126652",33.2957553,-112.072578
"L10126724",46.2048591,-116.8690503
"L10126795",33.2169644,-97.0985734
"L10127023",45.0004073,-92.8960283
"L10127084",43.5249895,-72.1104276
"L10127130",30.4199273,-97.7287066
"L10127464",44.7292243,-63.6755776
"L10127644",30.0221195,-96.292221
"L10128133",45.4573354,-74.150481
"L10128347",41.5525585,-74.2320442
"L10128380",43.0326372,-90.0564674
"L10128409",43.7939693,-80.0139188
"L10128413",41.3256701,-72.916965
"L10128660",39.9168997,-86.2962663
"L10128687",45.3134439,-93.5379334
"L10128707",42.9154836,-85.5047894
"L10128834",40.3159872,-80.0543
"L10129052",46.4538141,-80.9781004
"L10129214",39.0537542,-77.4217193
"L10129451",39.9764131,-105.2446454
"L10129626",42.3849519,-71.1784803
"L10129630",37.2349967,-76.7534682
"L10130473",46.4602551,-80.9790967
"L10130497",37.2678957,-76.671219
"L10130591",46.2215708,-79.3622142
"L10130606",41.989772,-72.6084977
"L10130756",34.7849914,-92.3768307
"L10130840",39.4581092,-77.5848665
"L10130877",42.3830961,-71.2444979
"L10130960",33.0237369,-97.1458237
"L10130981",38.5457976,-89.8735537
"L10131055",43.8922903,-70.5151183
"L10131168",49.848815,-97.228402
"L10131288",45.0585319,-93.6608814
"L10131434",33.9019357,-117.3194951
"L10131492",41.7783035,-71.354114
"L10131575",35.0376118,-80.774589
"L10131588",34.525362,-82.7097854
"L10131599",44.9806611,-93.1221342
"L10131658",36.0888589,-86.8088016
"L10131761",38.0699535,-122.5521228
"L10131997",55.0899551,-105.3239965
"L10132049",40.4954165,-74.4216247
"L10132204",37.9872578,-122.5759594
"L10132329",41.433839,-79.6786939
"L10132336",38.850642,-77.911491
"L10132396",38.3397544,-93.4840702
"L10132446",39.6490222,-104.9058068
"L10132514",47.6159375,-122.303871
"L10132529",31.5708482,-97.1523839
"L10132905",43.6463106,-80.5247346
"L10133056",45.4512159,-122.8458079
"L10133197",42.2715385,-83.0288578
"L10133390",47.661583,-122.2750694
"L10134008",32.584848,-80.157394
"L10134185",34.9787353,-82.3389369
"L10134226",42.7449479,-78.8907784
"L10134266",43.4968611,-80.243454
"L10134600",45.4500371,-122.7319263
"L10134689",36.7623381,-108.1413151
"L10134709",40.6627826,-124.2126524
"L10135428",35.0364255,-80.9115059
"L10135655",42.5187002,-76.2759253
"L10135809",39.6314279,-78.2188904
"L10135850",46.5915464,-90.9807336
"L10135875",39.139643,-94.3588632
"L10135952",41.828192,-70.7901844
"L10135972",41.8461636,-75.0388527
"L10136018",30.1145668,-95.3992316
"L10136641",36.010601,-80.36851
"L10136670",42.9575097,-77.8521155
"L10136705",49.681012,-124.927735
"L10137013",42.5015011,-76.5014237
"L10137035",43.7129138,-79.3735483
"L10137122",41.7678081,-71.5151422
"L10137183",45.6635928,-122.5832802
"L10137221",29.678727,-82.383336
"L10137242",39.0443069,-77.2660196
"L10137263",38.723379,-77.4916416
"L10137348",30.43789,-84.292143
"L10137381",42.778669,-86.1113602
"L10137487",43.1364252,-77.4795632
"L10137506",40.0703475,-76.346698
"L10137514",43.8035051,-70.2470566
"L10137551",27.9699269,-82.7401719
"L10137572",39.5898238,-76.6921932
"L10137666",36.0531482,-79.5294537
"L10137692",35.1116456,-85.1568685
"L10137737",36.619106,-78.553426
"L10137797",40.6166579,-80.0749478
"L10137803",25.7621935,-80.3129541
"L10137958",43.916181,-79.6821213
"L10137966",48.8271282,-117.7982479
"L10137988",46.2349676,-63.1413031
"L10138024",40.7458467,-76.5177637
"L10138179",42.603574,-72.7359653
"L10138387",30.38202,-83.1276226
"L10138559",40.1342676,-105.1065728
"L10138725",32.9211618,-96.5122677
"L10138796",35.9336127,-78.9193985
"L10138804",43.4909148,-79.6950281
"L10138808",35.2975622,-120.6799492
"L10138860",44.4873059,-71.5618515
"L10138876",36.161733,-79.131061
"L10138956",48.4272957,-123.3226796
"L10138983",30.0915889,-97.8706688
"L10139087",44.9346717,-93.2039783
"L10139169",50.0935427,-91.9154383
"L10139191",41.8461456,-71.4500891
"L10139206",42.2074461,-85.5334008
"L10139310",33.2107007,-111.867455
"L10139322",35.7575582,-81.3212676
"L10139398",39.3844293,-84.2952496
"L10139606",29.483422,-98.451429
"L10140274",40.58677,-74.714562
"L10140318",42.4252467,-74.1575588
"L10140349",46.053008,-73.0702722
"L10140526",42.9039341,-112.4153776
"L10140541",45.3437525,-76.0213154
"L10140600",42.4465721,-76.4975935
"L10140610",42.740236,-78.7519312
"L10140681",46.360469,-63.1463431
"L10140790",40.7968394,-82.7457345
"L10140863",43.45978,-80.5123808
"L10140865",48.9159328,-117.7865347
"L10140871",30.4499981,-84.475936
"L10141138",46.1286065,-60.1864876
"L10141149",35.6294546,-106.0025579
"L10141222",42.3609064,-76.4517331
"L10141639",47.4425669,-122.3475884
"L10141653",47.8025282,-122.2635647
"L10141681",48.5573402,-123.1728181
"L10141690",41.3391764,-95.9986476
"L10141742",44.1404034,-69.6011406
"L10142124",41.2470835,-96.0796827
"L10142126",44.342788,-78.204267
"L10142188",41.7951842,-87.8957319
"L10142305",37.0730709,-76.5189664
"L10142500",39.514867,-77.8755599
"L10142593",36.9664015,-122.0512248
"L10142702",38.5846228,-75.2850795
"L10142744",38.9012867,-75.4347306
"L10142832",34.3928828,-119.5164818
"L10142866",45.3006862,-75.3958088
"L10142927",39.4960642,-87.4015081
"L10142980",42.146808,-77.121293
"L10143096",43.1223252,-70.7312273
"L10143129",30.0554786,-95.3903862
"L10143189",29.722077,-98.131077
"L10143328",44.9741041,-123.0352942
"L10143342",45.5933053,-111.2021596
"L10143380",-33.137551,81.826172
"L10143468",45.545369,-62.9138941
"L10143629",40.2728236999999,-75.0903838
"L10143669",37.6156366,-97.2366537
"L10143752",48.586774,-123.417979
"L10143806",47.4279416,-122.1058384
"L10144118",47.6651882,-122.1286659
"L10144527",39.9336651,-75.3254345
"L10144575",38.8529936,-104.8410883
"L10144594",42.8436648,-80.2841485
"L10144652",44.2306405,-73.099916
"L10144674",44.2661242,-73.110944
"L10144679",41.6750318,-87.8275354
"L10144709",38.7760448,-93.5930126
"L10144771",36.6967951,-76.2418342
"L10144838",41.1301049,-81.5519939
"L10144885",44.868079,-93.267178
"L10144949",42.707442,-78.9683504
"L10145045",44.1971791,-77.5989011
"L10145240",35.407202,-80.325252
"L10145265",40.52422,-79.8254285
"L10145434",37.3389134,-79.8410864
"L10145515",29.5623618,-98.3745754
"L10145633",31.8713584,-111.0097381
"L10145674",44.0417633,-123.0995317
"L10145756",36.7839736,-108.1449515
"L10145763",41.387731,-73.7079
"L10145779",41.3145804,-72.9785123
"L10145843",35.0857914,-106.6664697
"L10145902",30.0211042,-98.179149
"L10145939",42.7347764,-73.6584268
"L10145948",42.3528038,-71.3482189
"L10146127",40.6304611,-111.8232795
"L10146229",45.4019183,-71.2487004
"L10146248",35.5331167,-105.9401768
"L10146482",49.7053671,-124.9663827
"L10146505",48.116334,-122.7658038
"L10146528",38.8066659,-78.3521702
"L10146533",44.1919129,-81.0207286
"L10146567",42.8525887,-75.7579261
"L10146632",39.9414899,-105.0683222
"L10146645",37.8275055,-87.5641395
"L10146650",45.4811373,-122.6514477
"L10146721",42.4475014,-84.4113726
"L10146842",39.0527121,-77.4665895
"L10146967",40.2750729,-76.8911541
"L10146976",32.9429604,-83.4195757
"L10147028",37.222169,-80.411074
"L10147078",37.3861239,-76.7842795
"L10147168",38.0571969,-78.4585923
"L10147204",37.1247011,-93.3053349
"L10147303",28.718099,-81.8733765
"L10147596",45.5870396,-122.7041864
"L10147619",44.09023,-92.4456011
"L10147832",39.1715691,-84.6000695
"L10148294",37.7177416,-81.0628796
"L10148383",29.4691326,-98.7516993
"L10148507",40.5443032,-74.6239853
"L10148538",44.4598426,-71.4900965
"L10148585",44.1337507,-76.0308992
"L10149391",39.568864,-105.011137
"L10149634",43.073908,-77.2596
"L10149719",44.8687398,-93.3108606
"L10149795",35.1367598,-80.867507
"L10149811",42.045679,-76.344457
"L10149828",48.3839868,-114.2438511
"L10149847",33.6042901,-112.0725632
"L10149948",27.4999001,-82.6247505
"L10150031",40.7960847,-77.9161877
"L10150159",39.7854111,-75.5407484
"L10150192",37.879427,-122.021245
"L10150231",26.3119009,-80.2501541
"L10150325",43.6408329,-79.5165442
"L10150335",39.5266469,-104.8028057
"L10150337",39.4214242,-77.4060939
"L10150616",49.9495918,-119.5496326
"L10150785",34.0234715,-84.3860132
"L10150928",29.5803725,-95.0372854
"L10151647",39.0795078,-76.5320063
"L10151723",41.275452,-73.3178186
"L10151846",42.8300306,-73.9081192
"L10151851",36.0538524,-79.1064119
"L10152007",37.836938,-97.264068
"L10152180",43.0941721,-89.359306
"L10152327",46.2730306,-79.4444674
"L10152589",42.3276014,-71.1160948
"L10152616",30.6255691,-81.4680309
"L10152624",29.9732127,-95.5712041
"L10152877",40.249349,-74.83582
"L10152953",35.6648349,-97.5202188
"L10152987",35.957274,-79.0618215
"L10152995",42.6093706,-83.4172475
"L10153175",43.4655089,-112.0319332
"L10153387",35.3851664,-93.3694124
"L10153443",48.5139753,-121.452983
"L10153468",47.3873081,-122.225946
"L10153556",53.5310489,-113.5963154
"L10153607",42.4209487,-71.1409757
"L10153748",41.4251471,-70.6805044
"L10153854",32.9611912,-117.1016139
"L10154057",43.9545487,-98.0704504
"L10154181",32.9627665,-96.8074894
"L10154417",39.2161495,-74.6983833
"L10154559",36.1477994,-79.9101198
"L10154696",43.1913224,-71.0259814
"L10155225",30.1358532,-95.7671191
"L10155483",26.206852,-97.6873398
"L10156774",39.9974082,-81.7401783
"L10156990",44.8921035,-93.4734657
"L10157264",43.4595349,-80.6430334
"L10157477",38.6956886,-77.493782
"L10157486",41.9518194,-86.2983287
"L10157570",43.0850806,-88.044695
"L10157642",43.6259658,-116.1888004
"L10158014",34.0538506,-118.3949972
"L10158054",38.624783,-90.2848829
"L10158130",38.8901358,-77.2347001
"L10159172",39.9278174,-84.3364029
"L10159606",35.5638575,-105.7031551
"L10159701",38.9175657,-104.7582853
"L10159783",43.5054528,-76.2053239
"L10159937",45.3610866,-75.9100221
"L10159993",43.3528944,-76.3058853
"L10160030",43.1107276,-70.7861139
"L10160032",39.970163,-105.1384588
"L10160036",40.3331282,-74.8587771
"L10160070",46.61057,-90.834971
"L10160463",38.2118655,-85.1689578
"L10160477",33.35143,-111.9857454
"L10160621",42.6860875,-83.0878281
"L10160839",34.7524381,-86.4618069
"L10161132",39.4650228,-76.7966518
"L10161650",43.7431363,-79.4203978
"L10161947",32.2306792,-110.8605773
"L10162011",42.8729167,-97.5217612
"L10162364",37.7874594,-122.1439348
"L10162485",27.6184731,-80.3989391
"L10162565",41.9945046,-83.951565
"L10162706",45.5074975,-122.6087532
"L10162846",47.5204547,-122.209933
"L10162944",48.5663585,-123.4581224
